experiment,weight,policy,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,episodes,warmup_ratio,lyap_constraint_weight,p_c5_viol,p_c6_viol,p_c6_exceed_ratio,p_c7_viol,p_c8_viol,mean_c5_excess_ratio,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,total_energy,avg_energy_per_slot_user,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio
weight_sweep,1.0,Full,1,15,1.0,1.0,1.0,1.0,800,0.7,1.0,0.9597222222222221,0.0,0.0,0.0,0.0,506.02009633703705,0.0,0.0,0.0,0.05027777777777772,1635783.6041971757,454.38433449921547,0.0,0.0,0.0,0.9497222222222222,0.009166666666666667,0.010277777777777778,0.01,0.020833333333333332
weight_sweep,1.0,Full,2,15,1.0,1.0,1.0,1.0,800,0.7,1.0,0.9627777777777776,0.0,0.0,0.0,0.0,506.08746334074056,0.0,0.0,0.0,0.04722222222222217,1332719.7253093163,370.1999236970323,0.0,0.0,0.0,0.9527777777777777,0.011944444444444445,0.008611111111111111,0.0075,0.019166666666666665
weight_sweep,1.0,Full,3,15,1.0,1.0,1.0,1.0,800,0.7,1.0,0.9583333333333334,0.0,0.0,0.0,0.0,502.1462505981482,0.0,0.0,0.0,0.052499999999999956,1833301.154328707,509.25032064686303,0.0,0.0,0.0,0.9475,0.010833333333333334,0.010833333333333334,0.008888888888888889,0.021944444444444444
weight_sweep,2.0,Full,1,15,1.0,1.0,1.0,1.0,800,0.7,2.0,0.9597222222222221,0.0,0.0,0.0,0.0,506.02009633703705,0.0,0.0,0.0,0.05027777777777772,1635783.6041971757,454.38433449921547,0.0,0.0,0.0,0.9497222222222222,0.009166666666666667,0.010277777777777778,0.01,0.020833333333333332
weight_sweep,2.0,Full,2,15,1.0,1.0,1.0,1.0,800,0.7,2.0,0.9627777777777776,0.0,0.0,0.0,0.0,506.08746334074056,0.0,0.0,0.0,0.04722222222222217,1332719.7253093163,370.1999236970323,0.0,0.0,0.0,0.9527777777777777,0.011944444444444445,0.008611111111111111,0.0075,0.019166666666666665
weight_sweep,2.0,Full,3,15,1.0,1.0,1.0,1.0,800,0.7,2.0,0.9583333333333334,0.0,0.0,0.0,0.0,502.1462505981482,0.0,0.0,0.0,0.052499999999999956,1833301.154328707,509.25032064686303,0.0,0.0,0.0,0.9475,0.010833333333333334,0.010833333333333334,0.008888888888888889,0.021944444444444444
weight_sweep,5.0,Full,1,15,1.0,1.0,1.0,1.0,800,0.7,5.0,0.9597222222222221,0.0,0.0,0.0,0.0,506.02009633703705,0.0,0.0,0.0,0.05027777777777772,1635783.6041971757,454.38433449921547,0.0,0.0,0.0,0.9497222222222222,0.009166666666666667,0.010277777777777778,0.01,0.020833333333333332
weight_sweep,5.0,Full,2,15,1.0,1.0,1.0,1.0,800,0.7,5.0,0.9627777777777776,0.0,0.0,0.0,0.0,506.08746334074056,0.0,0.0,0.0,0.04722222222222217,1332719.7253093163,370.1999236970323,0.0,0.0,0.0,0.9527777777777777,0.011944444444444445,0.008611111111111111,0.0075,0.019166666666666665
weight_sweep,5.0,Full,3,15,1.0,1.0,1.0,1.0,800,0.7,5.0,0.9583333333333334,0.0,0.0,0.0,0.0,502.1462505981482,0.0,0.0,0.0,0.052499999999999956,1833301.154328707,509.25032064686303,0.0,0.0,0.0,0.9475,0.010833333333333334,0.010833333333333334,0.008888888888888889,0.021944444444444444
weight_sweep,10.0,Full,1,15,1.0,1.0,1.0,1.0,800,0.7,10.0,0.9597222222222221,0.0,0.0,0.0,0.0,506.02009633703705,0.0,0.0,0.0,0.05027777777777772,1635783.6041971757,454.38433449921547,0.0,0.0,0.0,0.9497222222222222,0.009166666666666667,0.010277777777777778,0.01,0.020833333333333332
weight_sweep,10.0,Full,2,15,1.0,1.0,1.0,1.0,800,0.7,10.0,0.9627777777777776,0.0,0.0,0.0,0.0,506.08746334074056,0.0,0.0,0.0,0.04722222222222217,1332719.7253093163,370.1999236970323,0.0,0.0,0.0,0.9527777777777777,0.011944444444444445,0.008611111111111111,0.0075,0.019166666666666665
weight_sweep,10.0,Full,3,15,1.0,1.0,1.0,1.0,800,0.7,10.0,0.9583333333333334,0.0,0.0,0.0,0.0,502.1462505981482,0.0,0.0,0.0,0.052499999999999956,1833301.154328707,509.25032064686303,0.0,0.0,0.0,0.9475,0.010833333333333334,0.010833333333333334,0.008888888888888889,0.021944444444444444
weight_sweep,20.0,Full,1,15,1.0,1.0,1.0,1.0,800,0.7,20.0,0.9597222222222221,0.0,0.0,0.0,0.0,506.02009633703705,0.0,0.0,0.0,0.05027777777777772,1635783.6041971757,454.38433449921547,0.0,0.0,0.0,0.9497222222222222,0.009166666666666667,0.010277777777777778,0.01,0.020833333333333332
weight_sweep,20.0,Full,2,15,1.0,1.0,1.0,1.0,800,0.7,20.0,0.9627777777777776,0.0,0.0,0.0,0.0,506.08746334074056,0.0,0.0,0.0,0.04722222222222217,1332719.7253093163,370.1999236970323,0.0,0.0,0.0,0.9527777777777777,0.011944444444444445,0.008611111111111111,0.0075,0.019166666666666665
weight_sweep,20.0,Full,3,15,1.0,1.0,1.0,1.0,800,0.7,20.0,0.9583333333333334,0.0,0.0,0.0,0.0,502.1462505981482,0.0,0.0,0.0,0.052499999999999956,1833301.154328707,509.25032064686303,0.0,0.0,0.0,0.9475,0.010833333333333334,0.010833333333333334,0.008888888888888889,0.021944444444444444
weight_sweep,40.0,Full,1,15,1.0,1.0,1.0,1.0,800,0.7,40.0,0.9597222222222221,0.0,0.0,0.0,0.0,506.02009633703705,0.0,0.0,0.0,0.05027777777777772,1635783.6041971757,454.38433449921547,0.0,0.0,0.0,0.9497222222222222,0.009166666666666667,0.010277777777777778,0.01,0.020833333333333332
weight_sweep,40.0,Full,2,15,1.0,1.0,1.0,1.0,800,0.7,40.0,0.9627777777777776,0.0,0.0,0.0,0.0,506.08746334074056,0.0,0.0,0.0,0.04722222222222217,1332719.7253093163,370.1999236970323,0.0,0.0,0.0,0.9527777777777777,0.011944444444444445,0.008611111111111111,0.0075,0.019166666666666665
weight_sweep,40.0,Full,3,15,1.0,1.0,1.0,1.0,800,0.7,40.0,0.9583333333333334,0.0,0.0,0.0,0.0,502.1462505981482,0.0,0.0,0.0,0.052499999999999956,1833301.154328707,509.25032064686303,0.0,0.0,0.0,0.9475,0.010833333333333334,0.010833333333333334,0.008888888888888889,0.021944444444444444
