scenario,value,ablation,seed,user_num,load_scale,bw_scale,f_scale,tmax_scale,p_c6_viol,p_c7_viol,p_c8_viol,mean_overflow_prob,mean_m1_excess_cond,mean_m2_excess_cond,mean_offload_ratio,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,action_5_ratio,action_6_ratio,action_7_ratio,total_energy,avg_energy_per_slot_user,lyap_constraint_weight,lyap_energy_weight,lyap_constraint_scale,lyap_energy_scale,wolf_epsilon,episodes,warmup_ratio
load_scale,0.5,Full,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.25166666666666665,0.11833333333333333,0.09666666666666666,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,6.063171939432637,0.010105286565721062,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,0.5,-VQ,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.25166666666666665,0.11833333333333333,0.09666666666666666,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,6.063171939432637,0.010105286565721062,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,0.5,-GPD,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.25166666666666665,0.11833333333333333,0.09666666666666666,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,6.063171939432637,0.010105286565721062,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,0.5,-Lyapunov,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.25166666666666665,0.11833333333333333,0.09666666666666666,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,6.063171939432637,0.010105286565721062,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,0.5,-Priority,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.24833333333333332,0.11833333333333333,0.10166666666666667,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,1.3628464767019903,0.002271410794503317,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,0.5,Random,1,15,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,8.485955022135142,0.014143258370225236,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.0,Full,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.0,-VQ,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.0,-GPD,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.0,-Lyapunov,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.0,-Priority,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25,0.11833333333333333,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,2.702827953403982,0.004504713255673303,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.0,Random,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,16.944933794270284,0.028241556323783806,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.5,Full,1,15,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,18.144365818297906,0.030240609697163176,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.5,-VQ,1,15,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,18.144365818297906,0.030240609697163176,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.5,-GPD,1,15,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,18.144365818297906,0.030240609697163176,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.5,-Lyapunov,1,15,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,18.144365818297906,0.030240609697163176,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.5,-Priority,1,15,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25,0.11833333333333333,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,4.0428881801059715,0.0067381469668432855,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,1.5,Random,1,15,1.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,25.403912566405435,0.04233985427734239,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,2.0,Full,1,15,2.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0016666666666666668,23949.67166628937,8603801593.845957,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,24.18498900773054,0.04030831501288423,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,2.0,-VQ,1,15,2.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0016666666666666668,23949.67166628937,8603801593.845957,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,24.18498900773054,0.04030831501288423,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,2.0,-GPD,1,15,2.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0016666666666666668,23949.67166628937,8603801593.845957,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,24.18498900773054,0.04030831501288423,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,2.0,-Lyapunov,1,15,2.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0016666666666666668,23949.67166628937,8603801593.845957,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,24.18498900773054,0.04030831501288423,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,2.0,-Priority,1,15,2.0,1.0,1.0,1.0,0.06666666666666667,0.0,0.0,0.0016666666666666668,27256.786904244622,11143986485.151018,0.42666666666666675,0.24833333333333332,0.12,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,5.382957156807963,0.008971595261346605,20.0,1.0,1e+24,1e+25,0.1,80,0.5
load_scale,2.0,Random,1,15,2.0,1.0,1.0,1.0,0.2,0.0,0.0,0.03333333333333333,380240.62260017294,1854552387929.8313,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,33.86289133854057,0.05643815223090095,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.4,Full,1,15,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24666666666666667,0.125,0.095,0.105,0.10833333333333334,0.08666666666666667,0.12333333333333334,0.11,9.290391139781729,0.015483985232969549,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.4,-VQ,1,15,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24666666666666667,0.125,0.095,0.105,0.10833333333333334,0.08666666666666667,0.12333333333333334,0.11,9.290391139781729,0.015483985232969549,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.4,-GPD,1,15,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24666666666666667,0.125,0.095,0.105,0.10833333333333334,0.08666666666666667,0.12333333333333334,0.11,9.290391139781729,0.015483985232969549,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.4,-Lyapunov,1,15,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24666666666666667,0.125,0.095,0.105,0.10833333333333334,0.08666666666666667,0.12333333333333334,0.11,9.290391139781729,0.015483985232969549,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.4,-Priority,1,15,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.255,0.11333333333333333,0.1,0.105,0.10666666666666667,0.08666666666666667,0.12333333333333334,0.11,1.3923815501571295,0.0023206359169285493,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.4,Random,1,15,1.0,1.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,13.677246205295669,0.02279541034215945,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,Full,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-VQ,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-GPD,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-Lyapunov,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,9.959460719015867,0.016599101198359778,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,-Priority,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25333333333333335,0.115,0.1,0.105,0.105,0.08833333333333333,0.12333333333333334,0.11,1.7048301233773628,0.0028413835389622714,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.6,Random,1,15,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,14.455267059813432,0.024092111766355718,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,Full,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-VQ,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-GPD,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-Lyapunov,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,10.897584054574983,0.018162640090958304,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,-Priority,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.24833333333333332,0.12,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,2.1428353197239813,0.003571392199539969,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,0.8,Random,1,15,1.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,15.544496256138308,0.025907493760230514,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,Full,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-VQ,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-GPD,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-Lyapunov,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,12.103742628865273,0.020172904381442123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,-Priority,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42666666666666675,0.25,0.11833333333333333,0.1,0.105,0.10333333333333333,0.09,0.12333333333333334,0.11,2.702827953403982,0.004504713255673303,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.0,Random,1,15,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4966666666666666,0.12833333333333333,0.12333333333333334,0.12833333333333333,0.12333333333333334,0.12,0.12666666666666668,0.13333333333333333,0.11666666666666667,16.944933794270284,0.028241556323783806,20.0,1.0,1e+24,1e+25,0.1,80,0.5
f_scale,1.2,Full,1,15,1.0,1.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283333333333334,0.24833333333333332,0.12333333333333334,0.095,0.105,0.11,0.08833333333333333,0.11833333333333333,0.11166666666666666,13.577936441886738,0.02262989406981123,20.0,1.0,1e+24,1e+25,0.1,80,0.5
